21221	Masoin	11/11/2019 9:05:58 AM	249841	249737-0 431265-0 470952-1 626545-0 944362-0 949328-0 977437-0 832725-0 981703-0 939935-0 495380-0 500156-0 673564-0 711161-0 794622-0 653598-0 175501-0 688201-0 690303-0 265120-0 963269-0
9358	Dominik1981	11/11/2019 9:05:58 AM	248449 251844 251888 248432 250523 248513	251863-0 766803-0 132165-1 329743-0 479634-0 424370-0 325924-0 633822-0 983064-0 258071-0 673020-0 733248-0 172162-0 971944-0 751519-0 505589-0 960316-0 545579-0 203589-0 736509-0 787907-0
35120	Vishi	11/11/2019 9:05:58 AM	244724	243328-0 642635-0 331373-0 792992-0 657184-0 339858-0 145139-0 610669-0 726904-0 764725-0 465464-0 233668-0 860701-0 750609-0 498598-0 322944-0 284382-0 117046-0 433550-0 611037-0 241559-1
6492	Chipsticks	11/11/2019 9:05:58 AM	222657 222658 224219	222659-0 904155-0 756390-0 573695-0 329684-0 639103-0 938732-0 599295-0 584289-0 548203-0 984073-0 438948-0 864129-0 751103-0 441108-0 446575-0 936536-1 150745-0 595016-0 345016-0 441038-0
6824	Clarkie1007	11/11/2019 9:05:58 AM	232633	231055-0 540312-0 736230-1 274859-0 407745-0 192474-0 307699-0 829235-0 335102-0 665428-0 801257-0 140697-0 138777-0 971044-0 904270-0 991417-0 376614-0 347341-0 332843-0 763226-0 688210-0
2290	Annabella8	11/11/2019 9:05:58 AM	229185 229469	229592-0 623317-0 329581-0 741038-0 676085-0 353640-0 998155-0 749577-0 636671-0 941328-0 956945-0 812518-0 600437-0 941470-0 906301-0 424121-0 777111-0 286618-0 538046-1 620323-0 638982-0
6412	Chiccohuber	11/11/2019 9:05:58 AM	243363	243364-0 403594-0 292028-0 257232-1 254893-0 691388-0 159980-0 634476-0 110273-0 537269-0 242205-0 470263-0 890920-0 309181-0 638474-0 861803-0 857396-0 974691-0 392770-0 823665-0 110506-0
5681	Canadianbuy	11/11/2019 9:05:58 AM	250560 251837 251840 251841	251842-0 603237-0 201215-0 397993-0 486383-0 221838-0 957789-0 137905-1 332378-0 740796-0 536843-0 121635-0 337401-0 551686-0 881017-0 389231-0 800485-0 456551-0 768280-0 845573-0 622873-0
33044	Texan1955	11/11/2019 9:05:58 AM	231484 231487 231488 231402 231499 231520	234044-0 807770-0 164946-0 570252-0 941931-0 123944-0 835365-0 291779-1 906646-0 340975-0 942974-0 576038-0 293759-0 299345-0 152260-0 858283-0 706510-0 248893-0 773300-0 821176-0 882899-0
3875	Beythoven	11/11/2019 9:05:58 AM	225759 225779 229464 229477	229470-0 671032-0 197334-0 647106-0 950796-0 704342-0 341854-0 612039-0 929934-0 382401-0 652164-0 829247-0 194431-0 471077-0 686326-0 702204-0 511048-0 716340-1 759157-0 747103-0 995348-0
28776	S3ct0r973	11/11/2019 9:05:58 AM	245999 247028 252293	252266-0 595894-0 103971-0 256656-0 760563-1 136302-0 205182-0 519352-0 970166-0 194735-0 230839-0 386877-0 231698-0 364000-0 222311-0 458685-0 976302-0 629623-0 245176-0 519930-0 512620-0
18509	Kretz	11/11/2019 9:05:58 AM	239442 241869 239450	241875-0 486670-0 810119-0 822235-0 469099-0 325444-0 897361-1 672345-0 399462-0 281020-0 560558-0 179520-0 187113-0 283149-0 863750-0 297475-0 551115-0 852345-0 712525-0 734337-0 816688-0
8765	Dezibl	11/11/2019 9:05:58 AM	245846	243463-0 787357-0 749804-0 770977-1 915284-0 675975-0 532497-0 865355-0 152828-0 727317-0 562245-0 163297-0 287106-0 835858-0 863058-0 918453-0 652017-0 985073-0 538722-0 100783-0 289437-0
14950	Isachunt	11/11/2019 9:05:58 AM	238555	239160-0 245986-0 888186-1 313267-0 891380-0 873517-0 918029-0 791005-0 376138-0 661626-0 256075-0 944840-0 434045-0 235325-0 485027-0 195517-0 452361-0 147895-0 135313-0 702061-0 685014-0
6643	Chrisy71	11/11/2019 9:05:58 AM	226065	225844-1 903580-0 362306-0 833892-0 594843-0 252674-0 570661-0 751052-0 753593-0 847960-0 829303-0 689850-0 899189-0 933335-0 299092-0 642093-0 905670-0 851425-0 227451-0 978103-0 231640-0
1860	Amarson	11/11/2019 9:05:58 AM	229716	229422-0 479185-0 119714-0 279839-0 843089-0 975930-0 868823-0 424275-0 847579-1 687285-0 840897-0 863582-0 557531-0 814490-0 525773-0 187820-0 157953-0 215276-0 653359-0 178436-0 723783-0
28094	Rob1313	11/11/2019 9:05:58 AM	231277	231523-0 216496-0 165363-0 483716-0 904581-0 397079-0 765802-1 508851-0 435756-0 102877-0 111979-0 213403-0 202383-0 975311-0 907349-0 866094-0 218572-0 223259-0 292362-0 617630-0 476599-0
20518	Magickmoon	11/11/2019 9:05:58 AM	231539 231541 232622 233997	230810-0 308839-0 209682-0 225326-0 438554-0 373417-0 413690-1 515580-0 622870-0 998420-0 328616-0 702196-0 510677-0 706796-0 599850-0 679965-0 446020-0 355812-0 581448-0 103930-0 903735-0
